n_sq_vo,c_coinsee,c_desi,c_liaison,l_voie,l_courtmin,l_longmin,c_voie,b_fantoir,b_off,c_voie_vp,objectid,c_domoff,n_sq_co,length,geometry,sinuosity,azimuth,Route_Name,henge_time
750003586,75056,RUE,,DUCHEFDELAVILLE,R. Duchefdelaville,Rue Duchefdelaville,750562953,O,O,2980,10687,P,750001537,,"LINESTRING (2.371002128632515 48.832622025172114, 2.3702965690297937 48.832018370427434, 2.3699799856401644 48.83175137123422, 2.369810403996822 48.83161657067609, 2.3697391908124343 48.83157546297415, 2.36970244467777 48.83152297097769, 2.3692868359924657 48.83121836686869, 2.3691749506545396 48.8311690399264)",1.0037343375289647,219.61855593453728,Rue Duchefdelaville,
750000299,75056,RUE,DU,PERE PROSPER-ENFANTIN,R. du Père Prosper-Enfantin,Rue du Père Prosper-Enfantin,750567255,O,O,7203,10692,P,750001537,,"LINESTRING (2.4075953835041406 48.8650631097197, 2.4074802423668227 48.865532588348216)",1.0,350.8351851844056,Rue du Père Prosper-Enfantin,
750002126,75056,RTE,DES,PELOUSES,Rte. des Pelouses,Route des Pelouses,75056R662,O,O,Z662,10716,P,750001537,,"LINESTRING (2.462957570779043 48.83832457893454, 2.462597473144723 48.83955003401454, 2.4623520027086325 48.84027062757875, 2.4621216972894584 48.841270429969285, 2.462061950390816 48.84135629245611)",1.0024910253654167,348.99739473720604,Route des Pelouses,
750003423,75056,RUE,DE LA,GUADELOUPE,R. de la Guadeloupe,Rue de la Guadeloupe,750564355,O,O,4321,10722,P,750001537,,"LINESTRING (2.3631946059996096 48.890705884613936, 2.362615816070717 48.890696752737135, 2.362302160004524 48.89069709725121, 2.3618240280585616 48.89069512556578, 2.361272514114094 48.89068383029287)",1.0000340339318963,269.0009453297223,Rue de la Guadeloupe,"['2025-03-18T18:55:31', '2025-09-24T18:38:55']"
750005578,75056,IMP,,SAINT-EUSTACHE,Imp. Saint-Eustache,Impasse Saint-Eustache,750568598,O,O,8826,10737,P,750001537,,"LINESTRING (2.345640980517676 48.86385232503734, 2.345549156802063 48.863804886081894, 2.345385580059093 48.86372045122031, 2.3452423519379364 48.863644950039465)",1.0000083115603435,231.66364116959804,Impasse Saint-Eustache,
750004670,75056,RUE,,JEAN BART,R. Jean Bart,Rue Jean Bart,750564857,O,O,4769,10743,P,750001537,,"LINESTRING (2.331015067463916 48.848235307854665, 2.331024482488507 48.84807830526114, 2.3309709340193203 48.847067331501286)",1.0007406558006944,181.42442560375852,Rue Jean Bart,
750005770,75056,IMP,,JEAN BEAUSIRE,Imp. Jean Beausire,Impasse Jean Beausire,750564859,O,O,4770,10744,P,750001537,,"LINESTRING (2.36810717520429 48.85480709225095, 2.3680878779610643 48.85514975100226)",1.0,357.8779277350618,Impasse Jean Beausire,
750005771,75056,PAS,,JEAN BEAUSIRE,Pas. Jean Beausire,Passage Jean Beausire,750564860,O,O,4771,10745,V,750001537,,"LINESTRING (2.3673043187383 48.85433986369238, 2.3679271027744146 48.85425165507419, 2.367921431495271 48.85435853103773)",1.1921477586764828,267.3675288008026,Passage Jean Beausire,['2025-03-15T18:50:56']
750005559,75056,RUE,,SALOMON DE CAUS,R. Salomon de Caus,Rue Salomon de Caus,750568794,O,O,8433,10766,P,750001537,,"LINESTRING (2.354570725696282 48.867277995520446, 2.35446597836707 48.86731195636217, 2.3534310755320766 48.86758712681194, 2.3532907997919037 48.86759595593228)",1.0020476186791896,290.68963950439866,Rue Salomon de Caus,"['2025-04-25T19:52:02', '2025-08-16T19:58:25']"
750007236,75056,PL,,SALVADOR ALLENDE,Pl. Salvador Allende,Place Salvador Allende,750568799,N,O,8438,10768,P,750001537,,"LINESTRING (2.3112204915891628 48.85820266680444, 2.3111073616839812 48.85805545687854, 2.310022660041208 48.857316854254336)",1.0054802851115947,221.6593135019937,Place Salvador Allende,
750006324,75056,RUE,DE,SAMBRE-ET-MEUSE,R. de Sambre-Et-Meuse,Rue de Sambre-Et-Meuse,750568801,O,O,8439,10769,P,750001537,,"LINESTRING (2.3691681287422157 48.87531700306463, 2.3703072741006164 48.87522828282119, 2.371506718632712 48.87481307719168, 2.372510417678352 48.8746534137553, 2.373196221680826 48.87454240452993, 2.3733938821694 48.87450654865503, 2.3740481045645376 48.87429356454035, 2.3741827183264506 48.87436680871923)",1.0120018949435452,286.06987059656626,Rue de Sambre-Et-Meuse,"['2025-04-16T19:38:48', '2025-08-25T19:41:24']"
750001208,75056,RUE,,LOUIS LOUCHEUR,R. Louis Loucheur,Rue Louis Loucheur,750565796,O,O,5737,10877,P,750001537,,"LINESTRING (2.3264731881298166 48.89757525605433, 2.3262965765994914 48.89771015893646, 2.3262475182593767 48.8978204273742, 2.3254926194086862 48.89828461582002, 2.3248429969111957 48.898679407885034, 2.3248156659148216 48.898900989985115)",1.042439234638527,320.5830199107297,Rue Louis Loucheur,
750004731,75056,AV,,FRANCO-RUSSE,Av. Franco-Russe,Avenue Franco-Russe,750563818,O,O,3832,10895,P,750001537,,"LINESTRING (2.300998625493475 48.86032752048096, 2.3006399934404285 48.8603653564325, 2.3005215742981497 48.86035813502269, 2.298949226705595 48.86009493886544, 2.2986295471020597 48.860533946697004)",1.100291452207881,277.5453995314208,Avenue Franco-Russe,"['2025-04-01T19:16:34', '2025-09-09T19:10:47']"
750001167,75056,CITE,,MARIE,Cité Marie,Cité Marie,750566065,O,O,5990,10907,P,750001537,,"LINESTRING (2.3182260119667024 48.896077525810874, 2.3185209974871843 48.89602960717958, 2.318961063117736 48.89604667960215)",1.0048264398810125,273.6520571707809,Cité Marie,"['2025-03-26T19:07:35', '2025-09-16T18:55:58']"
750005820,75056,IMP,,GUEMENEE,Imp. Guéménée,Impasse Guéménée,750564365,O,O,4329,10957,P,750001537,,"LINESTRING (2.3656501365511775 48.85370612790329, 2.365870929325008 48.85436822300566, 2.3659010294453484 48.85446836344457)",1.000050624677586,192.22008795872455,Impasse Guéménée,
750007129,75056,PL,,JACOB KAPLAN,Pl. Jacob Kaplan,Place Jacob Kaplan,750564772,O,O,4857,10977,P,750001537,,"LINESTRING (2.3381679977964187 48.87437103145878, 2.3380579800494248 48.87427166681551, 2.337755101544772 48.874190184297845)",1.0246910403737348,236.33898676100222,Place Jacob Kaplan,"['2025-01-12T17:11:40', '2025-01-13T17:13:03', '2025-11-27T16:52:35', '2025-11-28T16:51:54']"
750007191,75056,RUE,,GEORGES DUHAMEL,R. Georges Duhamel,Rue Georges Duhamel,750564128,O,O,4152,10979,V,750001537,,"LINESTRING (2.3127189669585166 48.836893527466486, 2.3127760878567045 48.836857772899336, 2.312760744320412 48.836684375958654, 2.312599128162971 48.83632224182325, 2.3124288203104193 48.83607695769821, 2.311859906512989 48.835494085845866, 2.3118046619954398 48.83539500794874)",1.0621764017740145,201.8808542061058,Rue Georges Duhamel,
750007720,75056,RUE,,AUGUSTIN MOUCHOT,R. Augustin Mouchot,Rue Augustin Mouchot,750560569,O,O,0543,10986,P,750001537,,"LINESTRING (2.3495509837974655 48.82198080634936, 2.3501830449044974 48.82148472744936)",1.0,320.0070862576189,Rue Augustin Mouchot,
750001579,75056,RUE,,EMILE DUBOIS,R. Emile Dubois,Rue Emile Dubois,750563225,O,O,3260,11011,P,750001537,,"LINESTRING (2.3380362796987995 48.83142258940838, 2.3374309597358236 48.831577455240776, 2.3366945832375383 48.83175704349482, 2.335350050730649 48.832064683451556)",1.0000547200015728,289.95797169034864,Rue Emile Dubois,"['2025-04-24T19:50:34', '2025-08-18T19:54:45']"
750005691,75056,RUE,DE,MULHOUSE,R. de Mulhouse,Rue de Mulhouse,750566635,O,O,6575,11014,P,750001537,,"LINESTRING (2.3472493068545317 48.86831439828064, 2.347217825484253 48.86835063195593, 2.346788529438466 48.86883862005108, 2.3467041743485857 48.8689590401738, 2.3466752826072077 48.868999604663784)",1.0010039957632266,331.14306671725717,Rue de Mulhouse,
750000179,75056,VOIE,,ES/20,Voie Es/20,Voie Es/20,75056A758,O,O,Y516,11049,P,750001537,,"LINESTRING (2.4117952648843826 48.86562769069847, 2.412511590552388 48.86610643737429, 2.4126983745910913 48.866219897239304, 2.4128757051126652 48.86630862359811, 2.413012890841316 48.866361035398064, 2.4132157229267936 48.86641991137638, 2.41341712927091 48.86645653939647, 2.4135687624695215 48.86647048473435, 2.4137722567295206 48.86645970930128, 2.4139345667102883 48.86643219304282)",1.0333794331940636,240.24380016241622,Voie Es/20,"['2025-01-24T17:29:42', '2025-11-16T17:03:04', '2025-11-17T17:01:54']"
750000180,75056,VOIE,,ET/20,Voie Et/20,Voie Et/20,75056A759,N,O,Y517,11052,P,750001537,,"LINESTRING (2.4132544059550343 48.86881419851238, 2.4130970264002793 48.86841431059135, 2.4126582044700062 48.86669482026748, 2.4125844530956684 48.86642428828151)",1.0010927021720875,190.44813954916677,Voie Et/20,
750000085,75056,VOIE,,AU/16,Voie Au/16,Voie Au/16,75056A831,N,O,Y628,11058,P,750001537,,"LINESTRING (2.277423158701012 48.87628223499069, 2.277488704808624 48.876322192696165, 2.2775259792283093 48.8764393411778, 2.277628090620517 48.876566027214835, 2.277842462184433 48.87666086121146, 2.2786333452805243 48.8770198894682, 2.279052227469838 48.877247787921725, 2.2792341383576096 48.8773860778755)",1.0235201462246841,227.1754169854163,Voie Au/16,
750007074,75056,VLA,DES,GUIGNIERES,Vla. des Guignières,Villa des Guignières,750564385,O,O,4345,11084,P,750001537,,"LINESTRING (2.275839111053436 48.85679108186329, 2.2757044913820157 48.856778431545365, 2.275402404964504 48.85665612458728)",1.0088289975713156,244.84085178451534,Villa des Guignières,"['2025-02-03T17:46:10', '2025-11-06T17:16:35']"
750001106,75056,RUE,,MAURICE NOGUES,R. Maurice Noguès,Rue Maurice Noguès,750566206,O,O,6122,11091,P,750001537,,"LINESTRING (2.3055891999199254 48.82646387469039, 2.3055780955051297 48.826388415185924, 2.305458221340725 48.82616692122737, 2.3052514589978146 48.825784832627136, 2.305204894208347 48.825751635775646, 2.305114592799116 48.825729579924555, 2.304934099851519 48.82573752480443)",1.1178249808607945,210.70070863402796,Rue Maurice Noguès,
750003192,75056,VLA,,LEANDRE,Vla. Léandre,Villa Léandre,750565420,O,O,5352,11131,P,750001537,,"LINESTRING (2.3355214529412116 48.8884817634997, 2.3352290838513476 48.8884457953728, 2.3350884886005776 48.88840235965111, 2.3346970505389324 48.888170452251515)",1.017566414839585,240.131446062892,Villa Léandre,"['2025-01-24T17:29:42', '2025-11-17T17:01:54']"
